ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785713208.871,2.2,81.2,24.67,17.0,0.0,0,0,0,31.99,0,0,0,30.94,0,0,0,30.57,0,0,0,30.76
1785713209.871,2.4,100.0,24.69,16.0,0.0,0,0,0,31.94,0,0,0,30.94,0,0,0,30.52,0,0,0,30.71
1785713210.871,2.2,73.7,24.68,15.0,0.0,0,0,0,31.94,0,0,0,30.94,0,0,0,30.47,0,0,0,30.71
1785713211.872,2.1,100.0,24.68,21.0,0.0,0,0,0,31.99,0,0,0,30.99,0,0,0,30.47,0,0,0,30.71
1785713212.872,2.4,100.0,24.70,45.0,0.0,0,0,0,32.04,0,0,0,30.94,0,0,0,30.47,0,0,0,30.66
1785713213.872,2.2,100.0,24.71,31.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.47,0,0,0,30.70
1785713214.872,1.8,82.0,24.71,23.0,0.0,0,0,0,31.99,0,0,0,30.75,0,0,0,30.47,0,0,0,30.76
1785713215.872,4.0,100.0,24.69,30.0,0.0,0,0,0,32.03,0,0,0,30.79,0,0,0,30.48,0,0,0,30.82
1785713216.872,2.7,81.0,24.69,52.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.48,0,0,0,30.81
1785713217.872,2.0,100.0,24.70,23.0,0.0,0,0,0,31.94,0,0,0,30.85,0,0,0,30.47,0,0,0,30.76
1785713218.872,2.1,100.0,24.70,11.0,0.0,0,0,0,31.94,0,0,0,30.86,0,0,0,30.42,0,0,0,30.81
1785713219.872,2.8,100.0,24.73,15.0,0.0,0,0,0,31.99,0,0,0,30.85,0,0,0,30.43,0,0,0,30.71
1785713220.873,1.9,100.0,24.74,11.0,0.0,0,0,0,32.00,0,0,0,30.85,0,0,0,30.47,0,0,0,30.66
1785713221.873,2.6,90.0,24.73,13.0,0.0,0,0,0,32.00,0,0,0,30.85,0,0,0,30.66,0,0,0,30.65
1785713222.873,2.5,100.0,24.72,13.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.66,0,0,0,30.66
1785713223.873,2.1,91.0,24.73,17.0,0.0,0,0,0,32.09,0,0,0,30.84,0,0,0,30.46,0,0,0,30.71
1785713224.873,1.9,100.0,24.73,30.0,0.0,0,0,0,32.09,0,0,0,30.84,0,0,0,30.42,0,0,0,30.66
1785713225.873,2.3,100.0,24.74,40.0,0.0,0,0,0,32.09,0,0,0,30.80,0,0,0,30.42,0,0,0,30.62
1785713226.873,2.0,100.0,24.74,35.0,0.0,0,0,0,32.09,0,0,0,30.85,0,0,0,30.52,0,0,0,30.62
1785713227.873,2.1,62.6,24.73,21.9,0.0,0,0,0,32.09,0,0,0,30.79,0,0,0,30.47,0,0,0,30.65
