ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w
1785127439.467,2.1,100.0,62.70,0.0,0.0,0,0,0,33.20
1785127440.467,6.0,100.0,62.74,21.0,0.0,0,0,0,33.11
1785127441.467,4.8,100.0,62.82,18.0,0.0,0,0,0,33.26
1785127442.468,3.7,100.0,62.83,10.0,0.0,0,0,0,33.36
1785127443.468,4.2,100.0,62.85,15.0,0.0,0,0,0,33.22
1785127444.468,6.6,100.0,62.94,27.0,0.0,0,0,0,33.21
1785127445.468,5.8,100.0,63.02,44.0,0.0,0,0,0,33.25
1785127446.468,7.7,100.0,63.15,186.1,0.0,0,0,0,33.25
1785127447.468,5.7,100.0,63.24,29.0,0.0,0,0,0,33.25
1785127448.468,12.3,100.0,63.31,27.1,0.0,0,0,0,33.20
1785127449.468,11.9,100.0,63.51,35.9,0.0,0,0,0,33.24
1785127450.468,14.1,100.0,63.63,20.0,0.0,0,0,0,33.24
1785127451.468,13.4,100.0,63.73,30.0,0.0,0,0,0,33.19
1785127452.468,7.1,100.0,63.77,17.0,0.0,0,0,0,33.19
1785127453.469,5.4,100.0,63.77,34.0,0.0,0,0,0,33.19
1785127454.469,5.5,100.0,63.77,18.0,0.0,0,0,0,33.19
1785127455.469,6.8,100.0,63.78,31.2,0.0,0,0,0,33.20
1785127456.469,6.0,100.0,63.78,70.7,0.0,0,0,0,33.15
1785127457.469,7.3,100.0,63.81,16.0,0.0,0,0,0,33.20
1785127458.469,9.8,100.0,63.85,24.0,0.0,0,0,0,33.25
1785127459.469,4.7,100.0,63.90,32.0,0.0,0,0,0,33.25
1785127460.469,6.0,100.0,63.92,28.0,0.0,0,0,0,33.24
1785127461.469,5.5,100.0,63.94,23.1,0.0,0,0,0,33.10
1785127462.469,6.1,100.0,63.98,27.9,0.0,0,0,0,33.10
1785127463.470,7.3,100.0,63.96,16.0,0.0,0,0,0,33.29
1785127464.470,13.3,100.0,64.00,40.0,0.0,0,0,0,33.29
1785127465.470,12.0,100.0,64.14,22.0,0.0,0,0,0,33.20
1785127466.470,6.8,100.0,64.16,15.0,0.0,0,0,0,33.24
1785127467.470,6.6,100.0,64.13,32.1,0.0,0,0,0,33.29
1785127468.470,7.0,100.0,64.13,42.0,0.0,0,0,0,33.24
1785127469.470,9.1,100.0,64.07,39.0,0.0,0,0,0,33.19
1785127470.470,10.7,100.0,64.32,58.0,0.0,0,0,0,33.19
1785127471.470,7.7,100.0,64.35,22.0,0.0,0,0,0,33.19
1785127472.470,5.5,100.0,64.33,17.0,0.0,0,0,0,33.19
1785127473.470,7.1,100.0,64.26,15.0,0.0,0,0,0,33.24
1785127474.471,12.8,100.0,64.30,42.0,0.0,0,0,0,33.24
1785127475.471,14.3,100.0,64.38,56.1,0.0,0,0,0,33.19
1785127476.471,7.2,100.0,64.40,27.9,0.0,0,0,0,33.19
1785127477.471,6.5,100.0,64.41,42.0,0.0,0,0,0,33.24
1785127478.471,5.6,100.0,64.41,32.0,0.0,0,0,0,33.19
1785127479.471,5.5,100.0,64.40,40.0,0.0,0,0,0,33.15
1785127480.471,6.4,100.0,64.39,28.0,0.0,0,0,0,33.15
1785127481.471,9.2,100.0,64.42,26.0,0.0,0,0,0,33.14
1785127482.471,8.2,100.0,64.54,23.0,0.0,0,0,0,33.25
1785127483.471,10.7,100.0,64.45,29.0,0.0,0,0,0,33.25
1785127484.471,9.4,100.0,64.52,33.0,0.0,0,0,0,33.20
